"","ID","Position","EAP","SE"
"180",23,4,0.236,0.265
"181",23,5,0.241,0.234
"182",23,6,0.241,0.213
"183",23,7,0.304,0.193
"184",23,8,0.269,0.187
"185",24,1,-0.544,0.726
"186",24,2,-0.002,0.391
"187",24,3,0.088,0.303
"188",24,4,0.125,0.26
"189",24,5,0.07,0.244
"190",24,6,0.011,0.234
"191",24,7,0.008,0.217
"192",24,8,-0.002,0.203
"193",25,1,-0.544,0.726
"194",25,2,-0.845,0.648
"195",25,3,-1.109,0.606
"196",25,4,-1.254,0.575
"197",25,5,-1.359,0.557
"198",25,6,-1.434,0.547
"199",25,7,-1.473,0.538
"200",25,8,-1.573,0.544
"201",26,1,0.6,0.417
"202",26,2,0.713,0.299
"203",26,3,0.764,0.251
"204",26,4,0.643,0.233
"205",26,5,0.644,0.21
"206",26,6,0.717,0.195
"207",26,7,0.671,0.185
"208",26,8,0.613,0.179
"209",27,1,-0.544,0.726
"210",27,2,-0.845,0.648
"211",27,3,-1.109,0.606
"212",27,4,-1.254,0.575
"213",27,5,-1.359,0.557
"214",27,6,-1.434,0.547
"215",27,7,-1.473,0.538
"216",27,8,-1.573,0.544
"217",28,1,-0.544,0.726
"218",28,2,-0.002,0.391
"219",28,3,0.088,0.303
"220",28,4,0.125,0.26
"221",28,5,0.07,0.244
"222",28,6,0.011,0.234
"223",28,7,0.008,0.217
"224",28,8,-0.002,0.203
"225",29,1,-0.544,0.726
"226",29,2,-0.845,0.648
"227",29,3,-1.109,0.606
"228",29,4,-1.254,0.575
"229",29,5,-1.359,0.557
"230",29,6,-1.434,0.547
"231",29,7,-1.473,0.538
"232",29,8,-1.573,0.544
"233",30,1,-0.544,0.726
"234",30,2,-0.845,0.648
"235",30,3,-1.109,0.606
"236",30,4,-1.254,0.575
"237",30,5,-1.359,0.557
"238",30,6,-1.434,0.547
"239",30,7,-1.473,0.538
"240",30,8,-1.573,0.544
"241",31,1,0.6,0.417
"242",31,2,0.713,0.299
"243",31,3,0.764,0.251
"244",31,4,0.643,0.233
"245",31,5,0.644,0.21
"246",31,6,0.717,0.195
"247",31,7,0.671,0.185
"248",31,8,0.692,0.172
"249",32,1,-0.544,0.726
"250",32,2,-0.845,0.648
"251",32,3,-0.447,0.403
"252",32,4,-0.587,0.38
"253",32,5,-0.426,0.299
"254",32,6,-0.506,0.286
"255",32,7,-0.578,0.28
"256",32,8,-0.488,0.246
"257",33,1,-0.544,0.726
"258",33,2,-0.002,0.391
"259",33,3,0.088,0.303
"260",33,4,0.125,0.26
"261",33,5,0.07,0.244
"262",33,6,0.011,0.234
"263",33,7,0.008,0.217
"264",33,8,-0.002,0.203
"265",34,1,0.6,0.417
"266",34,2,0.319,0.353
"267",34,3,0.325,0.283
"268",34,4,0.236,0.265
"269",34,5,0.241,0.234
"270",34,6,0.241,0.213
"271",34,7,0.178,0.205
"272",34,8,0.248,0.191
"273",35,1,-0.544,0.726
"274",35,2,-0.002,0.391
"275",35,3,0.088,0.303
"276",35,4,0.125,0.26
"277",35,5,0.07,0.244
"278",35,6,0.011,0.234
"279",35,7,0.008,0.217
"280",35,8,-0.002,0.203
"281",36,1,-0.544,0.726
"282",36,2,-0.845,0.648
"283",36,3,-1.109,0.606
"284",36,4,-1.254,0.575
"285",36,5,-1.359,0.557
"286",36,6,-1.434,0.547
"287",36,7,-1.473,0.538
"288",36,8,-1.573,0.544
"289",37,1,-0.544,0.726
"290",37,2,-0.845,0.648
"291",37,3,-1.109,0.606
"292",37,4,-1.254,0.575
"293",37,5,-1.359,0.557
"294",37,6,-1.434,0.547
"295",37,7,-1.473,0.538
"296",37,8,-1.573,0.544
"297",38,1,-0.544,0.726
"298",38,2,-0.002,0.391
"299",38,3,0.088,0.303
"300",38,4,0.125,0.26
"301",38,5,0.07,0.244
"302",38,6,0.011,0.234
"303",38,7,0.008,0.217
"304",38,8,-0.002,0.203
"305",39,1,-0.544,0.726
"306",39,2,-0.002,0.391
"307",39,3,0.088,0.303
"308",39,4,0.125,0.26
"309",39,5,0.07,0.244
"310",39,6,0.011,0.234
"311",39,7,0.116,0.214
"312",39,8,0.092,0.202
"313",40,1,-0.544,0.726
"314",40,2,-0.002,0.391
"315",40,3,0.088,0.303
"316",40,4,0.125,0.26
"317",40,5,0.07,0.244
"318",40,6,0.011,0.234
"319",40,7,0.008,0.217
"320",40,8,-0.002,0.203
"321",41,1,-0.544,0.726
"322",41,2,-0.002,0.391
"323",41,3,0.088,0.303
"324",41,4,0.125,0.26
"325",41,5,0.07,0.244
"326",41,6,0.011,0.234
"327",41,7,0.008,0.217
"328",41,8,-0.002,0.203
"329",42,1,-0.544,0.726
"330",42,2,-0.845,0.648
"331",42,3,-0.447,0.403
"332",42,4,-0.587,0.38
"333",42,5,-0.426,0.299
"334",42,6,-0.277,0.252
"335",42,7,-0.209,0.228
"336",42,8,-0.184,0.213
"337",43,1,1.17,0.43
"338",43,2,1.386,0.308
"339",43,3,1.346,0.254
"340",43,4,1.418,0.225
"341",43,5,1.432,0.204
"342",43,6,1.53,0.194
"343",43,7,1.605,0.184
"344",43,8,1.594,0.174
"345",44,1,0.6,0.417
"346",44,2,0.713,0.299
"347",44,3,0.764,0.251
"348",44,4,0.785,0.22
"349",44,5,0.719,0.206
"350",44,6,0.709,0.19
"351",44,7,0.763,0.178
"352",44,8,0.772,0.167
"353",45,1,-0.544,0.726
"354",45,2,-0.845,0.648
"355",45,3,-1.109,0.606
"356",45,4,-1.254,0.575
"357",45,5,-1.359,0.557
"358",45,6,-1.434,0.547
"359",45,7,-1.473,0.538
"360",45,8,-1.573,0.544
"361",46,1,-0.544,0.726
"362",46,2,-0.002,0.391
"363",46,3,0.088,0.303
"364",46,4,0.125,0.26
"365",46,5,0.07,0.244
"366",46,6,0.011,0.234
"367",46,7,0.008,0.217
"368",46,8,-0.002,0.203
"369",47,1,-0.544,0.726
"370",47,2,-0.845,0.648
"371",47,3,-1.109,0.606
"372",47,4,-1.254,0.575
"373",47,5,-1.359,0.557
"374",47,6,-1.434,0.547
