recno,scores
809,1.686693163
810,0.524075314
811,1.358942997
812,1.434643136
813,0.748425775
814,0.718885062
815,1.654997496
816,1.699869638
817,1.69242155
818,1.148213248
819,1.463295922
820,0.403928804
821,1.188965806
822,-0.155055971
823,0.689503272
824,1.321130446
825,0.810929677
826,0.610847369
827,1.400012096
828,1.15076879
829,1.185029886
830,0.243360658
831,0.274022937
832,0.778543804
833,0.170001002
834,0.496957711
835,0.736885775
836,1.98567828
837,-0.275369914
838,1.008267671
839,1.284554199
840,1.258348496
841,0.987084298
842,0.679744235
843,1.550210328
844,1.185970494
845,-0.279028692
846,1.034732298
847,1.398898439
848,0.713877398
849,1.452284024
850,1.16192924
851,0.398707862
852,0.385904663
853,1.022457014
854,0.355682286
855,1.130994203
856,0.154127693
857,1.043996845
858,0.966632477
859,2.391964591
860,3.446917393
861,0.953457219
862,1.003235056
863,1.155802757
864,1.474406868
865,0.367837862
866,0.725641638
867,2.395965376
868,1.010023253
869,1.381635892
870,1.244297137
871,1.451368046
872,1.567736157
873,1.837550325
874,0.810454894
875,1.456888794
876,1.318993031
877,1.125068354
878,1.033247563
879,1.1324937
880,-0.073111561
881,-0.427547984
882,-0.940801164
883,2.51524539
884,0.280533969
885,-0.664980517
886,0.791796347
887,1.043843758
888,0.511444111
889,1.231509536
890,0.016279217
891,1.036640779
892,1.249779046
893,0.288340736
894,0.124940794
895,1.100621466
896,1.045279289
897,1.722500478
898,2.377162361
899,1.444255207
900,1.504701641
901,1.316788612
902,1.581740529
903,1.624054152
904,1.692019079
905,3.004200921
906,0.53274792
907,2.015526237
908,1.217479173
909,0.399395988
910,1.766753812
911,0.133100015
912,0.048699418
913,1.045156477
914,2.101443073
915,1.613024473
916,0.300500475
917,2.433956648
918,1.063500959
919,1.078910836
920,2.355401148
921,1.330561234
922,0.120982376
923,0.943026319
924,0.780075876
925,2.325239914
926,0.167324042
927,1.09865388
928,1.387715349
929,0.98162857
930,0.875782938
931,1.406631923
932,1.459755745
933,1.057641841
934,1.753861547
935,0.804971938
936,1.432319615
937,2.073188197
938,1.612153749
939,-0.423915242
940,1.203585775
941,0.276645097
942,1.100788131
943,0.74193539
944,0.030029301
945,0.730179106
946,1.030920561
947,1.591475395
948,1.32107763
949,1.086419647
950,0.825988246
951,0.466343771
952,1.553823366
953,0.964925879
954,1.72811726
955,0.806559197
956,1.365289303
957,1.670980805
958,0.248895134
959,1.995108496
960,0.431619015
961,-0.176003557
962,2.609707126
963,2.025408564
964,-0.680820219
965,1.482222808
966,0.248065476
967,1.605323972
968,1.447017474
969,0.275852894
970,1.345322402
971,1.072906293
972,1.340350413
973,0.484157037
974,0.17204359
975,1.366306541
976,0.663982629
977,1.945097798
978,1.278595351
979,1.006628369
980,1.209396563
981,0.85182056
982,0.479336344
983,0.582200585
984,0.313603986
985,1.834724602
986,0.796004059
987,0.477997593
988,0.82610851
989,1.668010495
990,1.891720083
991,0.679569998
992,0.690737963
993,2.255730203
994,2.724267263
995,0.862224875
996,0.500796153
997,2.442239311
998,1.110453697
999,0.968266599
1000,1.020899856
